2014-03-14 09:12:43  INFO | :1394813563994:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.component.id.Dns
2014-03-14 09:12:43  INFO | :1394813563994:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.empyrean.Arbitrator
2014-03-14 09:12:43  INFO | :1394813563995:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.component.id.Tokens
2014-03-14 09:12:43  INFO | :1394813563996:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.loadbalancing.common.LoadBalancing
2014-03-14 09:12:43  INFO | :1394813563996:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.node.NodeController
2014-03-14 09:12:43  INFO | :1394813563997:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.compute.common.Compute
2014-03-14 09:12:43  INFO | :1394813563997:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.component.id.Euare
2014-03-14 09:12:43  INFO | :1394813563998:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.walrus.Walrus
2014-03-14 09:12:43  INFO | :1394813563999:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.loadbalancing.common.LoadBalancingBackend
2014-03-14 09:12:43  INFO | :1394813563999:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.objectstorage.ObjectStorage
2014-03-14 09:12:44  INFO | :1394813564000:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.cloudwatch.common.CloudWatch
2014-03-14 09:12:44  INFO | :1394813564001:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.component.id.Notifications
2014-03-14 09:12:44  INFO | :1394813564001:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.cloudwatch.common.CloudWatchBackend
2014-03-14 09:12:44  INFO | :1394813564002:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.component.id.Reporting
2014-03-14 09:12:44  INFO | :1394813564002:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.component.id.HttpService
2014-03-14 09:12:44  INFO | :1394813564003:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.cloudformation.CloudFormation
2014-03-14 09:12:44  INFO | :1394813564004:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.autoscaling.common.AutoScalingBackend
2014-03-14 09:12:44  INFO | :1394813564004:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.config.ConfigurationService
2014-03-14 09:12:44  INFO | :1394813564005:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.component.id.Ldap
2014-03-14 09:12:44  INFO | :1394813564006:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.component.id.ClusterController
2014-03-14 09:12:44  INFO | :1394813564006:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.component.id.Eucalyptus
2014-03-14 09:12:44  INFO | :1394813564006:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.empyrean.Empyrean
2014-03-14 09:12:44  INFO | :1394813564007:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.component.id.ComponentService
2014-03-14 09:12:44  INFO | :1394813564008:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.component.id.Database
2014-03-14 09:12:44  INFO | :1394813564008:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.component.id.ClusterController$GatherLogService
2014-03-14 09:12:44  INFO | :1394813564009:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:class com.eucalyptus.empyrean.PropertiesService
2014-03-14 09:12:44  INFO | --------------------------------------------------------------------------------
                          | ServiceBuilderDiscovery
                          | --------------------------------------------------------------------------------
2014-03-14 09:12:44  INFO | --------------------------------------------------------------------------------
                          | PersistenceContextDiscovery
                          | --------------------------------------------------------------------------------
2014-03-14 09:12:54  INFO | :1394813574975:DefaultCryptoProvider:bootstrap:GENERATE_CERTIFICATE:CN=eucalyptus, OU=Eucalyptus, O=Cloud, C=US:CN=eucalyptus, OU=Eucalyptus, O=Cloud, C=US
2014-03-14 09:12:55  INFO | :1394813575044:PEMFiles:bootstrap:CERTIFICATE_WRITE://var/lib/eucalyptus/keys/cloud-cert.pem
2014-03-14 09:12:55  INFO | :1394813575052:PEMFiles:bootstrap:CERTIFICATE_WRITE://var/lib/eucalyptus/keys/cloud-pk.pem
2014-03-14 09:12:55  INFO | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
2014-03-14 09:12:55  INFO | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
2014-03-14 09:12:55  INFO | :1394813575127:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:eucalyptus
2014-03-14 09:12:55  INFO | :1394813575128:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:eucalyptus
2014-03-14 09:12:55  INFO | :1394813575130:SystemCredentials:bootstrap:COMPONENT_INFO:initialized:eucalyptus:C=US,O=Cloud,OU=Eucalyptus,CN=eucalyptus
2014-03-14 09:12:55  INFO | :1394813575437:DefaultCryptoProvider:bootstrap:GENERATE_CERTIFICATE:CN=walrus, OU=Eucalyptus, O=Cloud, C=US:CN=walrus, OU=Eucalyptus, O=Cloud, C=US
2014-03-14 09:12:55  INFO | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
2014-03-14 09:12:55  INFO | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
2014-03-14 09:12:55  INFO | :1394813575473:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:walrus
2014-03-14 09:12:55  INFO | :1394813575473:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:walrus
2014-03-14 09:12:55  INFO | :1394813575474:SystemCredentials:bootstrap:COMPONENT_INFO:initialized:walrus:C=US,O=Cloud,OU=Eucalyptus,CN=walrus
2014-03-14 09:12:55  INFO | :1394813575927:DefaultCryptoProvider:bootstrap:GENERATE_CERTIFICATE:CN=storage, OU=Eucalyptus, O=Cloud, C=US:CN=storage, OU=Eucalyptus, O=Cloud, C=US
2014-03-14 09:12:55  INFO | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
2014-03-14 09:12:55  INFO | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
2014-03-14 09:12:55  INFO | :1394813575962:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:storage
2014-03-14 09:12:55  INFO | :1394813575963:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:storage
2014-03-14 09:12:55  INFO | :1394813575964:SystemCredentials:bootstrap:COMPONENT_INFO:initialized:storage:C=US,O=Cloud,OU=Eucalyptus,CN=storage
2014-03-14 09:12:56  INFO | :1394813576214:DefaultCryptoProvider:bootstrap:GENERATE_CERTIFICATE:CN=objectstorage, OU=Eucalyptus, O=Cloud, C=US:CN=objectstorage, OU=Eucalyptus, O=Cloud, C=US
2014-03-14 09:12:56  INFO | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
