2012-11-20 15:38:37  INFO | [i-81BB424D] downloading http://192.168.51.195:8773/services/Walrus/eustore_images/euca-centos-5.8-2012.07.05-x86_64.manifest.xml
2012-11-20 15:38:51  INFO | {1650280192} walrus_request: to /disk1/storage/eucalyptus/instances/cache/emi-7DC03819-92cfe9a0/blocks
2012-11-20 15:38:51  INFO | [i-81BB424D] copying/cloning blob emi-7DC03819-92cfe9a0 to blob SGSDYVIYEJOUDXGWOCLM7/i-81BB424D/emi-7DC03819-06b30df3
2012-11-20 15:38:52  INFO | [i-81BB424D] tuning root file system on disk 0 partition 1
2012-11-20 15:38:58  INFO | [i-81BB424D] injecting the ssh key
2012-11-20 15:38:58  INFO | creating path /disk1/storage/eucalyptus/instances/cache/prt-03258ext3-3fc604c2
2012-11-20 15:38:58  INFO | creating path /disk1/storage/eucalyptus/instances/cache/prt-03258ext3-3fc604c2
2012-11-20 15:38:58  INFO | [i-81BB424D] creating partition of size 3416260608 bytes and type ext3 in prt-03258ext3-3fc604c2
2012-11-20 15:39:00  INFO | [i-81BB424D] copying/cloning blob prt-03258ext3-3fc604c2 to blob SGSDYVIYEJOUDXGWOCLM7/i-81BB424D/prt-03258ext3-3fc604c2
2012-11-20 15:39:00  INFO | creating path /disk1/storage/eucalyptus/instances/cache/prt-00512swap-ac8d5670
2012-11-20 15:39:00  INFO | creating path /disk1/storage/eucalyptus/instances/cache/prt-00512swap-ac8d5670
2012-11-20 15:39:00  INFO | [i-81BB424D] creating partition of size 536870912 bytes and type swap in prt-00512swap-ac8d5670
2012-11-20 15:39:00  INFO | [i-81BB424D] copying/cloning blob prt-00512swap-ac8d5670 to blob SGSDYVIYEJOUDXGWOCLM7/i-81BB424D/prt-00512swap-ac8d5670
2012-11-20 15:39:00  INFO | [i-81BB424D] constructing disk of size 5368741376 bytes in dsk-7DC03819-ac232aa4 (/dev/loop6)
2012-11-20 15:39:00  INFO | [i-81BB424D] creating MBR
2012-11-20 15:39:00  INFO | [i-81BB424D] adding partition 1 to partition table (/dev/mapper/euca-SGSDYVIYEJOUDXGWOCLM7-i-81BB424D-dsk-7DC03819-ac232aa4)
2012-11-20 15:39:01  INFO | [i-81BB424D] adding partition 2 to partition table (/dev/mapper/euca-SGSDYVIYEJOUDXGWOCLM7-i-81BB424D-dsk-7DC03819-ac232aa4)
2012-11-20 15:39:02  INFO | [i-81BB424D] adding partition 3 to partition table (/dev/mapper/euca-SGSDYVIYEJOUDXGWOCLM7-i-81BB424D-dsk-7DC03819-ac232aa4)
2012-11-20 15:39:02  INFO | [i-81BB424D] wrote instance XML to /disk1/storage/eucalyptus/instances/work/SGSDYVIYEJOUDXGWOCLM7/i-81BB424D/instance.xml
2012-11-20 15:39:02  INFO | [i-81BB424D] booting
2012-11-20 15:40:51  INFO | setting sensor history size to 5
2012-11-20 15:40:51  INFO | setting sensor collection interval time to 30000
2012-11-20 15:43:46  INFO | [i-81BB424D][vol-C4593B45] invoked (remote=,,,l8KkA6FxrMPv0mr6R7CdI7N7DpNNeL1o6XBy+RJ9GZW41VjZ5FYh5nz18XODlO0ZboABlva/d7y540LGEHgMeLNJ8L57MZFhEbZ6ejvAWKb82xRq54xRm1SEXfWk722zVar8b1WDFNe8BGKKPRzu74a0oguAhhlTPQ4aka4zp+cj3QiL8FWWz9FTqtbW780l/ovEdifIyoIAg+DhW6dg2Ur5yi4iRBm/gpfr3zeLBtWBSCliF60a3QdyzHYapFywoFQFpz05v5jdwcdK+MWirRMyDp4rkm1Y23Hu6uKDx9Gy2q9bMnQEWEDUP9OSi//rFNHcJlZVhcEjYM6x3kh4nA==,,192.168.51.195,iqn.2009-06.com.eucalyptus.PARTI00:store1 local=/dev/sdf)
2012-11-20 15:43:50  INFO | [i-81BB424D] wrote volume XML to /disk1/storage/eucalyptus/instances/work/SGSDYVIYEJOUDXGWOCLM7/i-81BB424D/vol-C4593B45.xml
2012-11-20 15:43:50  INFO | [i-81BB424D][vol-C4593B45] attached as host device '/dev/sdc' to guest device 'sdf'
2012-11-20 15:45:11  INFO | [i-81BB424D][vol-281D4150] invoked (remote=,,,HxvvzAC2uoIXok0D49foYlc3ntfjsyZusKt1T44ZR/9gSo02rG1iRfX+uASQF3WhGcfCwhWoQX7pJRAahJZXAWU7NKVg4jFEjw0+za+Ov3/pNfb9qRQzdcgS6xC1o4/QY5UXGmeEaAl4KJlMJvdJ6A/cYz7HTrZTegPAqY1pj98eJbilVaeIK3yAEto1DLAmTTI0p/ocO/WwKOWeKakoWw6SpzU6frSEKvHjGp5c5VorOMquLT4QnWmGpWKCK3vhSSbbtz5csF6dRaDvNkTF/YxKAgVmA918Bpv7nd3/3OtoKHhzISVGEEhV8NPMQ+P7Ibdeio3RIq1dKoX2OG7VBA==,,192.168.51.195,iqn.2009-06.com.eucalyptus.PARTI00:store2 local=/dev/sdg)
2012-11-20 15:45:13  INFO | [i-81BB424D] wrote volume XML to /disk1/storage/eucalyptus/instances/work/SGSDYVIYEJOUDXGWOCLM7/i-81BB424D/vol-281D4150.xml
2012-11-20 15:45:13 ERROR | libvirt: internal error unable to execute QEMU command '__com.redhat_drive_add': Device 'drive-virtio-disk6' could not be initialized (code=1)
2012-11-20 15:45:13 ERROR | [i-81BB424D][vol-281D4150] failed to attach host device '/dev/sdd' to guest device 'sdg' on attempt 1 of 3
2012-11-20 15:45:13 ERROR | [i-81BB424D][vol-281D4150] virDomainAttachDevice() failed (err=-1) XML='<?xml version="1.0" encoding="UTF-8"?>
<disk type="block">
  <driver name="qemu"/>
  <source dev="/dev/sdd"/>
  <target bus="virtio" dev="vdg"/>
</disk>
'
2012-11-20 15:45:16  INFO | [i-81BB424D][vol-281D4150] attached as host device '/dev/sdd' to guest device 'sdg'
2012-11-20 15:47:52  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadOps:summation:vdf
2012-11-20 15:47:52  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteOps:summation:vdf
2012-11-20 15:47:52  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadBytes:summation:vdf
2012-11-20 15:47:52  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteBytes:summation:vdf
2012-11-20 15:47:52  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalReadTime:summation:vdf
2012-11-20 15:47:52  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalWriteTime:summation:vdf
2012-11-20 15:49:08  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadOps:summation:vdg
2012-11-20 15:49:08  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteOps:summation:vdg
2012-11-20 15:49:08  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadBytes:summation:vdg
2012-11-20 15:49:08  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteBytes:summation:vdg
2012-11-20 15:49:08  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalReadTime:summation:vdg
2012-11-20 15:49:08  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalWriteTime:summation:vdg
2012-11-20 15:51:40  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadOps:summation:vdf
2012-11-20 15:51:40  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteOps:summation:vdf
2012-11-20 15:51:40  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadBytes:summation:vdf
2012-11-20 15:51:40  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteBytes:summation:vdf
2012-11-20 15:51:40  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalReadTime:summation:vdf
2012-11-20 15:51:40  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalWriteTime:summation:vdf
2012-11-20 15:52:56  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadOps:summation:vdg
2012-11-20 15:52:56  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteOps:summation:vdg
2012-11-20 15:52:56  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadBytes:summation:vdg
2012-11-20 15:52:56  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteBytes:summation:vdg
2012-11-20 15:52:56  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalReadTime:summation:vdg
2012-11-20 15:52:56  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalWriteTime:summation:vdg
2012-11-20 15:55:27  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadOps:summation:vdf
2012-11-20 15:55:27  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteOps:summation:vdf
2012-11-20 15:55:27  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadBytes:summation:vdf
2012-11-20 15:55:27  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteBytes:summation:vdf
2012-11-20 15:55:27  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalReadTime:summation:vdf
2012-11-20 15:55:27  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalWriteTime:summation:vdf
2012-11-20 15:56:43  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadOps:summation:vdg
2012-11-20 15:56:43  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteOps:summation:vdg
2012-11-20 15:56:43  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadBytes:summation:vdg
