ccess /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/alpha/mm read: 0 write: 0
45650496 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/kernel read: 0 write: 0
45650510 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/kernel/cpufreq read: 0 write: 0
45650521 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/mm read: 0 write: 0
45650532 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/lib read: 0 write: 0
45650542 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/dig read: 0 write: 0
45650555 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/kvm read: 0 write: 0
45650571 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/sn read: 0 write: 0
45650584 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/sn/kernel read: 0 write: 0
45650595 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/sn/kernel/sn2 read: 0 write: 0
45650609 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/sn/pci read: 0 write: 0
45650620 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/sn/pci/pcibr read: 0 write: 0
45650633 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/uv read: 0 write: 0
45650644 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/uv/kernel read: 0 write: 0
45650655 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/ia32 read: 0 write: 0
45650665 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/oprofile read: 0 write: 0
45650681 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/hp read: 0 write: 0
45650691 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/hp/zx1 read: 0 write: 0
45650707 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/hp/sim read: 0 write: 0
45650718 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/hp/sim/boot read: 0 write: 0
45650729 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/hp/common read: 0 write: 0
45650740 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/ia64/pci read: 0 write: 0
45650770 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/m32r read: 0 write: 0
45650781 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/m32r/kernel read: 0 write: 0
45650791 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/m32r/mm read: 0 write: 0
45650802 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/m32r/lib read: 0 write: 0
45650833 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/m32r/platforms read: 0 write: 0
45650844 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/m32r/platforms/mappi2 read: 0 write: 0
45650855 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/m32r/platforms/usrv read: 0 write: 0
45650866 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/m32r/platforms/mappi read: 0 write: 0
45650877 10498 (stap) access /lib/modules/2.6.32-279.2.1.el6.x86_64/build/arch/m32r/platforms/opsput read: 0 write: 0
