2014-11-21 15:27:01  INFO | spawning Eucalyptus node controller v4.0.2 [built 2014-10-16 23:52:23+00:00]
2014-11-21 15:27:01 TRACE 000114091 get_common_block         fault.c:568                       | Found <common> block.
2014-11-21 15:27:01 TRACE 000114091 read_eucafault           fault.c:478                       | Found <common> block in //usr/share/eucalyptus/faults/en_US//common.xml
2014-11-21 15:27:01 TRACE 000114091 add_eucafault            fault.c:506                       | Creating new document.
2014-11-21 15:27:01 TRACE 000114091 str_trim_suffix          fault.c:310                       | returning: 2003
2014-11-21 15:27:01 TRACE 000114091 read_eucafault           fault.c:457                       | Attempting to load file //usr/share/eucalyptus/faults/en_US//2003.xml
2014-11-21 15:27:01 TRACE 000114091 is_suppressed_eucafault  fault.c:375                       | returning FALSE for 2003.
2014-11-21 15:27:01 TRACE 000114091 read_eucafault           fault.c:473                       | Successfully parsed file //usr/share/eucalyptus/faults/en_US//2003.xml
2014-11-21 15:27:01 TRACE 000114091 read_eucafault           fault.c:476                       | Found fault id 2003 in //usr/share/eucalyptus/faults/en_US//2003.xml
2014-11-21 15:27:01 TRACE 000114091 add_eucafault            fault.c:514                       | Appending to existing document.
2014-11-21 15:27:01 TRACE 000114091 str_trim_suffix          fault.c:310                       | returning: 2002
2014-11-21 15:27:01 TRACE 000114091 read_eucafault           fault.c:457                       | Attempting to load file //usr/share/eucalyptus/faults/en_US//2002.xml
2014-11-21 15:27:01 TRACE 000114091 is_suppressed_eucafault  fault.c:375                       | returning FALSE for 2002.
2014-11-21 15:27:01 TRACE 000114091 read_eucafault           fault.c:473                       | Successfully parsed file //usr/share/eucalyptus/faults/en_US//2002.xml
2014-11-21 15:27:01 TRACE 000114091 read_eucafault           fault.c:476                       | Found fault id 2002 in //usr/share/eucalyptus/faults/en_US//2002.xml
2014-11-21 15:27:01 TRACE 000114091 add_eucafault            fault.c:514                       | Appending to existing document.
2014-11-21 15:27:01 TRACE 000114091 str_trim_suffix          fault.c:310                       | returning: 2001
2014-11-21 15:27:01 TRACE 000114091 read_eucafault           fault.c:457                       | Attempting to load file //usr/share/eucalyptus/faults/en_US//2001.xml
2014-11-21 15:27:01 TRACE 000114091 is_suppressed_eucafault  fault.c:375                       | returning FALSE for 2001.
2014-11-21 15:27:01 TRACE 000114091 read_eucafault           fault.c:473                       | Successfully parsed file //usr/share/eucalyptus/faults/en_US//2001.xml
2014-11-21 15:27:01 TRACE 000114091 read_eucafault           fault.c:476                       | Found fault id 2001 in //usr/share/eucalyptus/faults/en_US//2001.xml
2014-11-21 15:27:01 TRACE 000114091 add_eucafault            fault.c:514                       | Appending to existing document.
2014-11-21 15:27:01 TRACE 000114091 str_trim_suffix          fault.c:310                       | returning: 2000
2014-11-21 15:27:01 TRACE 000114091 read_eucafault           fault.c:457                       | Attempting to load file //usr/share/eucalyptus/faults/en_US//2000.xml
2014-11-21 15:27:01 TRACE 000114091 is_suppressed_eucafault  fault.c:375                       | returning FALSE for 2000.
2014-11-21 15:27:01 TRACE 000114091 read_eucafault           fault.c:473                       | Successfully parsed file //usr/share/eucalyptus/faults/en_US//2000.xml
2014-11-21 15:27:01 TRACE 000114091 read_eucafault           fault.c:476                       | Found fault id 2000 in //usr/share/eucalyptus/faults/en_US//2000.xml
2014-11-21 15:27:01 TRACE 000114091 add_eucafault            fault.c:514                       | Appending to existing document.
2014-11-21 15:27:01 TRACE 000114091 str_trim_suffix          fault.c:310                       | returning: 1501
