Thu May 24 14:22:40 2012  INFO ComponentDiscovery      | :1337894560015:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.config.ConfigurationService
Thu May 24 14:22:40 2012  INFO ComponentDiscovery      | :1337894560016:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.empyrean.Empyrean
Thu May 24 14:22:40 2012  INFO ComponentDiscovery      | :1337894560017:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.empyrean.Empyrean.Arbitrator
Thu May 24 14:22:40 2012  INFO ComponentDiscovery      | :1337894560018:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.component.id.Ldap
Thu May 24 14:22:40 2012  INFO ComponentDiscovery      | :1337894560019:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:null
Thu May 24 14:22:40 2012 ERROR ComponentDiscovery      | java.lang.reflect.UndeclaredThrowableException
java.lang.reflect.UndeclaredThrowableException
	at com.eucalyptus.util.Classes$InstanceBuilder.newInstance(Classes.java:204)
	at com.eucalyptus.util.Classes.newInstance(Classes.java:232)
	at com.eucalyptus.component.ComponentIds.lookup(ComponentIds.java:91)
	at com.eucalyptus.component.ComponentDiscovery.processClass(ComponentDiscovery.java:82)
	at com.eucalyptus.bootstrap.ServiceJarDiscovery.checkClass(ServiceJarDiscovery.java:231)
	at com.eucalyptus.bootstrap.ServiceJarDiscovery.runDiscovery(ServiceJarDiscovery.java:222)
	at com.eucalyptus.bootstrap.ServiceJarDiscovery.doSingleDiscovery(ServiceJarDiscovery.java:195)
	at com.eucalyptus.bootstrap.ServiceJarDiscovery$doSingleDiscovery.call(Unknown Source)
	at org.codehaus.groovy.runtime.callsite.CallSiteArray.defaultCall(CallSiteArray.java:40)
	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:117)
