	at com.eucalyptus.util.Classes$InstanceBuilder.newInstance(Classes.java:204)
	at com.eucalyptus.util.Classes.newInstance(Classes.java:232)
	at com.eucalyptus.component.ComponentIds.lookup(ComponentIds.java:91)
	at com.eucalyptus.component.ComponentDiscovery.processClass(ComponentDiscovery.java:82)
	at com.eucalyptus.bootstrap.ServiceJarDiscovery.checkClass(ServiceJarDiscovery.java:231)
	at com.eucalyptus.bootstrap.ServiceJarDiscovery.runDiscovery(ServiceJarDiscovery.java:222)
	at com.eucalyptus.bootstrap.ServiceJarDiscovery.doSingleDiscovery(ServiceJarDiscovery.java:195)
	at com.eucalyptus.bootstrap.ServiceJarDiscovery$doSingleDiscovery.call(Unknown Source)
	at org.codehaus.groovy.runtime.callsite.CallSiteArray.defaultCall(CallSiteArray.java:40)
	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:117)
	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:125)
	at Script3.run(Script3.groovy:28)
	at org.codehaus.groovy.jsr223.GroovyScriptEngineImpl.eval(GroovyScriptEngineImpl.java:314)
	at org.codehaus.groovy.jsr223.GroovyScriptEngineImpl.eval(GroovyScriptEngineImpl.java:111)
	at org.codehaus.groovy.jsr223.GroovyScriptEngineImpl.eval(GroovyScriptEngineImpl.java:103)
	at com.eucalyptus.scripting.Groovyness.run(Groovyness.java:96)
	at com.eucalyptus.scripting.Groovyness.run(Groovyness.java:113)
	at com.eucalyptus.scripting.Groovyness.run(Groovyness.java:117)
	at com.eucalyptus.bootstrap.Bootstrap.initializeSystem(Bootstrap.java:615)
	at com.eucalyptus.bootstrap.SystemBootstrapper.load(SystemBootstrapper.java:213)
Caused by: java.lang.NoSuchMethodException: com.eucalyptus.component.ComponentIds$1.<init>()
	at java.lang.Class.getConstructor0(Class.java:2723)
	at java.lang.Class.getConstructor(Class.java:1674)
	at com.eucalyptus.util.Classes$InstanceBuilder.newInstance(Classes.java:196)
	... 19 more
Fri Jun 15 03:22:48 2012  INFO ComponentDiscovery      | Error occurred while trying to register ComponentId of type: null
java.lang.reflect.UndeclaredThrowableException
	at com.eucalyptus.util.Classes$InstanceBuilder.newInstance(Classes.java:204)
	at com.eucalyptus.util.Classes.newInstance(Classes.java:232)
	at com.eucalyptus.component.ComponentIds.lookup(ComponentIds.java:91)
	at com.eucalyptus.component.ComponentDiscovery.processClass(ComponentDiscovery.java:82)
	at com.eucalyptus.bootstrap.ServiceJarDiscovery.checkClass(ServiceJarDiscovery.java:231)
	at com.eucalyptus.bootstrap.ServiceJarDiscovery.runDiscovery(ServiceJarDiscovery.java:222)
	at com.eucalyptus.bootstrap.ServiceJarDiscovery.doSingleDiscovery(ServiceJarDiscovery.java:195)
	at com.eucalyptus.bootstrap.ServiceJarDiscovery$doSingleDiscovery.call(Unknown Source)
	at org.codehaus.groovy.runtime.callsite.CallSiteArray.defaultCall(CallSiteArray.java:40)
	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:117)
	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:125)
	at Script3.run(Script3.groovy:28)
	at org.codehaus.groovy.jsr223.GroovyScriptEngineImpl.eval(GroovyScriptEngineImpl.java:314)
	at org.codehaus.groovy.jsr223.GroovyScriptEngineImpl.eval(GroovyScriptEngineImpl.java:111)
	at org.codehaus.groovy.jsr223.GroovyScriptEngineImpl.eval(GroovyScriptEngineImpl.java:103)
	at com.eucalyptus.scripting.Groovyness.run(Groovyness.java:96)
	at com.eucalyptus.scripting.Groovyness.run(Groovyness.java:113)
	at com.eucalyptus.scripting.Groovyness.run(Groovyness.java:117)
	at com.eucalyptus.bootstrap.Bootstrap.initializeSystem(Bootstrap.java:615)
	at com.eucalyptus.bootstrap.SystemBootstrapper.load(SystemBootstrapper.java:213)
Caused by: java.lang.NoSuchMethodException: com.eucalyptus.component.ComponentIds$1.<init>()
	at java.lang.Class.getConstructor0(Class.java:2723)
	at java.lang.Class.getConstructor(Class.java:1674)
	at com.eucalyptus.util.Classes$InstanceBuilder.newInstance(Classes.java:196)
	... 19 more
Fri Jun 15 03:22:48 2012  INFO ComponentDiscovery      | :1339755768530:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.component.id.Storage
Fri Jun 15 03:22:48 2012  INFO ComponentDiscovery      | :1339755768531:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.component.id.ClusterController.GatherLogService
Fri Jun 15 03:22:48 2012  INFO ComponentDiscovery      | :1339755768532:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.empyrean.Empyrean.PropertiesService
Fri Jun 15 03:22:48 2012  INFO ComponentDiscovery      | :1339755768533:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.empyrean.Empyrean
Fri Jun 15 03:22:48 2012  INFO ComponentDiscovery      | :1339755768534:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.component.id.HttpService
Fri Jun 15 03:22:48 2012  INFO ComponentDiscovery      | :1339755768535:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.component.id.Walrus
Fri Jun 15 03:22:48 2012  INFO ComponentDiscovery      | :1339755768536:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.component.id.Euare
Fri Jun 15 03:22:48 2012  INFO ComponentDiscovery      | :1339755768537:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.component.id.Reporting
Fri Jun 15 03:22:48 2012  INFO ComponentDiscovery      | :1339755768538:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.broker.vmware.VMwareBroker
Fri Jun 15 03:22:48 2012  INFO ComponentDiscovery      | :1339755768539:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.empyrean.Empyrean.Arbitrator
Fri Jun 15 03:22:48 2012  INFO ComponentDiscovery      | :1339755768540:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.component.id.ClusterController
Fri Jun 15 03:22:48 2012  INFO ServiceJarDiscovery     | --------------------------------------------------------------------------------
                                                       | ServiceBuilderDiscovery
                                                       | --------------------------------------------------------------------------------
Fri Jun 15 03:22:48 2012  INFO ServiceJarDiscovery     | --------------------------------------------------------------------------------
                                                       | PersistenceContextDiscovery
                                                       | --------------------------------------------------------------------------------
Fri Jun 15 03:22:49 2012  INFO DefaultCryptoProvider   | :1339755769608:DefaultCryptoProvider:bootstrap:GENERATE_CERTIFICATE:CN=eucalyptus, OU=Eucalyptus, O=Cloud, C=US:CN=eucalyptus, OU=Eucalyptus, O=Cloud, C=US
Fri Jun 15 03:22:49 2012  INFO PEMFiles                | :1339755769688:PEMFiles:bootstrap:CERTIFICATE_WRITE://var/lib/eucalyptus/keys/cloud-cert.pem
Fri Jun 15 03:22:49 2012  INFO PEMFiles                | :1339755769693:PEMFiles:bootstrap:CERTIFICATE_WRITE://var/lib/eucalyptus/keys/cloud-pk.pem
Fri Jun 15 03:22:49 2012  INFO AbstractKeyStore        | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
Fri Jun 15 03:22:49 2012  INFO AbstractKeyStore        | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
Fri Jun 15 03:22:49 2012  INFO SystemCredentials       | :1339755769813:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:eucalyptus
Fri Jun 15 03:22:49 2012  INFO SystemCredentials       | :1339755769813:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:eucalyptus
Fri Jun 15 03:22:49 2012  INFO SystemCredentials       | :1339755769814:SystemCredentials:bootstrap:COMPONENT_INFO:initialized:eucalyptus:C=US,O=Cloud,OU=Eucalyptus,CN=eucalyptus
Fri Jun 15 03:22:51 2012  INFO DefaultCryptoProvider   | :1339755771042:DefaultCryptoProvider:bootstrap:GENERATE_CERTIFICATE:CN=storage, OU=Eucalyptus, O=Cloud, C=US:CN=storage, OU=Eucalyptus, O=Cloud, C=US
Fri Jun 15 03:22:51 2012  INFO AbstractKeyStore        | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
Fri Jun 15 03:22:51 2012  INFO AbstractKeyStore        | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
Fri Jun 15 03:22:51 2012  INFO SystemCredentials       | :1339755771094:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:storage
