cloud-output.log.4:Thu Oct 4 22:38:11 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:39:48 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:39:48 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:40:42 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:40:42 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:41:58 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:41:58 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:43:29 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:43:30 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:44:24 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:44:24 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:44:52 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:44:52 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:46:40 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:46:40 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:47:21 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:47:21 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:48:59 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:48:59 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:50:40 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:50:40 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:51:40 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:51:40 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:52:22 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:52:22 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:54:00 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:54:00 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:55:26 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:55:26 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:56:30 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:56:30 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:58:31 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:58:31 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:59:02 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 22:59:02 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:00:38 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:00:38 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:01:31 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:01:31 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:02:56 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:02:56 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:03:58 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:03:58 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:05:03 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:05:03 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:05:42 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:05:42 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:07:20 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:07:20 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:08:58 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:08:58 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:10:13 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:10:13 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:10:51 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:10:51 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:12:07 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:12:07 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:13:08 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:13:08 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:14:08 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:14:08 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:15:13 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:15:13 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:15:48 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:15:48 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:16:53 2012  INFO Broker                  | enabling VMware Broker
